Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,21,01,00,00,400.4504
2013,01,21,02,00,00,400.5544
2013,01,21,03,00,00,400.7122
2013,01,21,04,00,00,400.8416
2013,01,21,05,00,00,401.0647
2013,01,21,06,00,00,401.2952
2013,01,21,07,00,00,401.509
2013,01,21,08,00,00,401.759
2013,01,21,09,00,00,401.9989
2013,01,21,10,00,00,402.3236
2013,01,21,11,00,00,402.8756
2013,01,21,12,00,00,403.1522
2013,01,21,13,00,00,403.14186
2013,01,21,14,00,00,403.2632
2013,01,21,15,00,00,403.205
2013,01,21,16,00,00,402.6363
2013,01,21,17,00,00,402.0004
2013,01,21,18,00,00,401.5945
2013,01,21,19,00,00,401.7044
2013,01,21,20,00,00,401.7669
2013,01,21,21,00,00,401.6699
2013,01,21,22,00,00,401.9271
2013,01,21,23,00,00,401.7911
2013,01,22,00,00,00,401.521
2013,01,22,01,00,00,401.6321
2013,01,22,02,00,00,401.816
2013,01,22,03,00,00,401.9378
2013,01,22,04,00,00,402.0703
2013,01,22,05,00,00,402.0828
2013,01,22,06,00,00,402.09189
2013,01,22,07,00,00,402.1244
2013,01,22,08,00,00,402.1974
2013,01,22,09,00,00,402.2998
2013,01,22,10,00,00,402.4052
2013,01,22,11,00,00,402.472
2013,01,22,12,00,00,402.6507
2013,01,22,13,00,00,402.7674
2013,01,22,14,00,00,402.9362
2013,01,22,15,00,00,402.9321
2013,01,22,16,00,00,402.7532
2013,01,22,17,00,00,402.5962
2013,01,22,18,00,00,402.5975
2013,01,22,19,00,00,402.6502
2013,01,22,20,00,00,402.66556
2013,01,22,21,00,00,402.6729
2013,01,22,22,00,00,402.6363
2013,01,22,23,00,00,402.548
2013,01,23,00,00,00,402.4805
2013,01,23,01,00,00,402.4872
2013,01,23,02,00,00,402.5919
2013,01,23,03,00,00,402.7508
2013,01,23,04,00,00,402.8198
2013,01,23,05,00,00,402.9521
2013,01,23,06,00,00,402.9139
2013,01,23,07,00,00,403.0867
2013,01,23,08,00,00,403.5471
2013,01,23,09,00,00,403.7711
2013,01,23,10,00,00,403.89156
2013,01,23,11,00,00,403.807
2013,01,23,12,00,00,403.9011
2013,01,23,13,00,00,403.6931
2013,01,23,14,00,00,403.8054
2013,01,23,15,00,00,404.1683
2013,01,23,16,00,00,404.4872
2013,01,23,17,00,00,404.5517
2013,01,23,18,00,00,404.4641
2013,01,23,19,00,00,404.2456
2013,01,23,20,00,00,404.3683
2013,01,23,21,00,00,404.3196
2013,01,23,22,00,00,404.3178
2013,01,23,23,00,00,404.3717
2013,01,24,00,00,00,404.61
2013,01,24,01,00,00,404.87189
2013,01,24,02,00,00,405.0188
2013,01,24,03,00,00,405.0023
2013,01,24,04,00,00,404.8428
2013,01,24,05,00,00,404.6853
2013,01,24,06,00,00,404.4802
2013,01,24,07,00,00,404.3776
2013,01,24,08,00,00,404.294
2013,01,24,09,00,00,404.3344
2013,01,24,10,00,00,404.3708
