Year,Month,Day,Hour,Minute,Second,HYY_META.RHIRGA336
2003,01,31,16,00,00,NaN
2003,01,31,17,00,00,NaN
2003,01,31,18,00,00,NaN
2003,01,31,19,00,00,NaN
2003,01,31,20,00,00,NaN
2003,01,31,21,00,00,NaN
2003,01,31,22,00,00,NaN
2003,01,31,23,00,00,NaN
2003,02,01,00,00,00,116.562
2003,02,01,01,00,00,114.08
2003,02,01,02,00,00,115.407
2003,02,01,03,00,00,110.669
2003,02,01,04,00,00,107.421
2003,02,01,05,00,00,105.044
2003,02,01,06,00,00,108.396
2003,02,01,07,00,00,109.084
2003,02,01,08,00,00,109.559
2003,02,01,09,00,00,113.243
2003,02,01,10,00,00,112.6
2003,02,01,11,00,00,108.671
2003,02,01,12,00,00,104.325
2003,02,01,13,00,00,101.913
2003,02,01,14,00,00,101.008
2003,02,01,15,00,00,100.238
2003,02,01,16,00,00,100.581
2003,02,01,17,00,00,100.158
2003,02,01,18,00,00,99.556
2003,02,01,19,00,00,99.715
2003,02,01,20,00,00,99.94
2003,02,01,21,00,00,100.14
2003,02,01,22,00,00,99.947
2003,02,01,23,00,00,100.227
2003,02,02,00,00,00,99.608
2003,02,02,01,00,00,99.63
2003,02,02,02,00,00,99.867
2003,02,02,03,00,00,100.306
2003,02,02,04,00,00,100.285
2003,02,02,05,00,00,101.16
2003,02,02,06,00,00,100.993
2003,02,02,07,00,00,101.438
2003,02,02,08,00,00,101.447
2003,02,02,09,00,00,102.42
2003,02,02,10,00,00,102.39
2003,02,02,11,00,00,101.227
2003,02,02,12,00,00,100.798
2003,02,02,13,00,00,99.531
2003,02,02,14,00,00,98.118
2003,02,02,15,00,00,96.788
2003,02,02,16,00,00,97.518
2003,02,02,17,00,00,97.708
2003,02,02,18,00,00,96.275
2003,02,02,19,00,00,91.089
2003,02,02,20,00,00,89.516
2003,02,02,21,00,00,88.07
2003,02,02,22,00,00,87.058
2003,02,02,23,00,00,83.607
2003,02,03,00,00,00,96.029
2003,02,03,01,00,00,100.242
2003,02,03,02,00,00,101.018
2003,02,03,03,00,00,98.875
2003,02,03,04,00,00,97.337
2003,02,03,05,00,00,98.691
2003,02,03,06,00,00,100.112
2003,02,03,07,00,00,98.45
2003,02,03,08,00,00,94.411
2003,02,03,09,00,00,89.356
2003,02,03,10,00,00,85.645
2003,02,03,11,00,00,82.83
2003,02,03,12,00,00,81.138
2003,02,03,13,00,00,79.37
2003,02,03,14,00,00,84.366
2003,02,03,15,00,00,86.894
